IdCliente,DNI,ApellidoPaterno,ApellidoMaterno,Nombres,Genero,Direccion,Distrito,Correo,Telefono1,Telefono2
6336445,04789496,ARMAS IPARRAGUIRR,,CONSUELO PILAR,,CL EMILIANO LLANOS ZAPATA 579    URBCHIMU,TRUJILLO,CONCHITO91_2@HOTMAIL.COM,960713637,912805383
6425461,04789497,CHAVEZ JARA,,ELVIS ANDERSON,,JR VENEZUELA 656,CALLAO,CJEA.1984@HOTMAIL.COM,925084231,988067102
5133716,04789498,AGREDA CASTILLO,,MARTHA GRACIELA,,N   U 6AHALTO TRUJILLO SECTOR SEC BARRIO 3,EL PORVENIR,MARTHA2015@HOTMAIL.COM,920137065,943537319
10469905,04789499,REATEGUI ARCE,,OFELIA,,AV QUI—ONEZ 450,SAN JUAN BAUTISTA,ORA1959@LIVE.COM,963731835,929187009
4948321,04789500,SILVA DEL AGUILA,,ISAAC LEONARDO,,JR 3 DE OCTUBRE 897,YARINACOCHA,ISAACSILVADELAGUILA@GMAIL.COM,921869480,906918755
6214323,04789501,ALVAREZ LOZANO,,JORGE LUIS,,AV BELLAVISTA 710,CALLERIA,JORGE.ALVAREZ.LOZANO@BBVA.COM,955752159,926590818
13289618,04789502,SEGOVIA,PAREDES,LUIS GUSTAVO,,CALLE LOS MELOCOTONES URB NARANJAL 261,SAN MARTIN DE PORRES,TAVOUSEGOVIA@HOTMAIL.COM,976616400,996876184
8078130,04789503,PEREZ RIOS,,FRED WILLIAM,,JR INMACULADA 764,CALLERIA,F_PEREZ_RIOS@OUTLOOK.COM,919631026,977383102
4976089,04789504,ECCA GUERRERO,,MARIA CARMEN,,N   O 301URBIGNACIO MERINO 2DA ETAPA,PIURA,LUPDIKAT_1885@HOTMAIL.COM,936500669,947629571
5538724,04789505,ESCOBAR,TEJEDA,CLAUDIA,,CALLE LOS GRANADOS 390 URB CALIFORNIA,TRUJILLO,MADONNA437@HOTMAIL.COM,917506468,907254262
4815308,04789506,INGA VALQUI,,ROSALINDA,,CL ASCATE 3    AHLOS HEROES DE HUANCHACO,HUANCHACO,FOREVER_PRETTY21@HOTMAIL.COM,968939350,910679640
11508158,04789507,BARZOLA PACHECO,,OLGA BEATRIZ,,N   B 11URBSAN PEDRITO,SANTIAGO DE SURCO,BBARZOLA@ESAN.EDU.PE,964877182,915434767
5858791,04789508,VALDEZ BULEJE,,ALBAROSA MERCEDES,,CL ITALIA 120  DPTO 301  URBSAN ELIAS,LOS OLIVOS,AMVALDEZB@GMAIL.COM,909366636,939263877
4790481,04789509,PORTILLA DIAZ,,CARLOS ENRIQUE,,CL ABANCAY 975 A    URBPERU,SAN MARTIN DE PORRES,KARLONCHO78@HOTMAIL.COM,924707218,937125503
6738099,04789510,QUINTANILLA RUIZ,,GABY MAGD,,AV ANTIGUA PANAMERICANA 210  PISO 2,MALA,GABY3_8@HOTMAIL.COM,959147356,991007223
5112172,04789511,YACTAYO CALDERON,,WALTER RENE,,OT SECTOR 1 S/N   D 2AGRGRUPO 8 SECTOR 1,VILLA EL SALVADOR,THE_ESCORPIO_25@HOTMAIL.COM,919307185,932198952
14204178,04789512,GUEVARA TABOADA DE CHOI,,EVA ALICIA,,AV COLONIAL 679 EDIFICIO CENTRO COLONIAL DPTO 1704,LIMA,ALICIAIPUDA2015@HOTMAIL.COM,913906719,937347225
26477519,04789513,SORIA BAUTISTA,,MERCEDES LIDIA,,N   G 2SEC 6 GRP 9,VILLA EL SALVADOR,MECHESORIA.Z@GMAIL.COM,985262482,904160098
4716913,04789514,CHIROQUE PRECIADO,,RONY MIGUEL,,CL AUGUSTO GUTIERREZ S/N   T 2AHNUEVO HORIZONTE SECTOR B,SULLANA,RONYCHIROQUE17@OUTLOOK.ES,987881381,958369317
5302727,04789515,CHAMOLY SANCHEZ,,JUANA,,CIPRESES S/N MZ. G LT. 25 URB LOS ROBLES SANTA ROSA,SAN MARTIN DE PORRES,JJUANACHAMOLYJ@HOTMAIL.COM,949505622,921527645
6302791,04789516,PEREZ VILLAFANA,,LUIS IVAN,,JR EL ESTA–O 5410 URB INFANTAS,LOS OLIVOS,LPEREZ@IPVELAS.COM,977064897,964487204
6281534,04789517,TRUJILLO AYALA,,REYNA,,JR COMANDANTE ESPINAR 260 1 DPTO 303,SAN MIGUEL,REYNA_T5@HOTMAIL.COM,912565059,989746349
15590218,04789518,VASQUEZ QUEPUY,,MILAGROS DEL CARMEN,,CL GENERAL MENDIBURU 935 TORRE A DPTO 401,MIRAFLORES,ANPILU98@HOTMAIL.COM,916460308,928577760
8036865,08176308,YAPO RIVERA,,OSCAR ALFREDO,,3 S/N MZ. D LT. 26 PJ VIRGEN DE COCHARCAS III,SAN MARTIN DE PORRES,YAPITO83@GMAIL.COM,935339540,945170539
15334549,08332920,CONDORI MAQQUE,,ROSA BLANCA,,JR LA TRINIDAD 190 URB VILLA JARDIN,SAN LUIS,BLACONDORI@HOTMAIL.COM,992369643,937782716
6267818,09823358,ARANDA VARGAS,,RICARDO ROMAN,,CL 10 DE JULIO S/N MZ. 6 LT. 21,FLORENCIA DE MORA,ARANDA_VARGAS@HOTMAIL.COM,981201700,915370585
24291878,11298601,GIL IZAHUANGA,,CESAR AUGUSTO,,PJ NICARAGUA 155 URB SANTA VERONICA SECTOR III,TRUJILLO,CESARGILIZAHUANGA@GMAIL.COM,945813788,903820007
6474087,12157776,FLORES MOYA,,MIRLA YOSELINE,,CL JORGE CHAVEZ 158,SAMUEL PASTOR,COQUETONA_21_30@HOTMAIL.COM,935318400,998323850
19132314,12883701,LAGOS ALOR,,ANGELICA,,JR GUZMAN Y BARRON 3844 URB CONDEVILLA ET 1,SAN MARTIN DE PORRES,HTMQLE03@GMAIL.COM,923976880,950275417
21596515,13161211,ACOSTA DAVILA,,KATHERINE HELDELIZA,,MZ. J LT. 02 URB FONAVI,YARINACOCHA,KATHERINEACOSTAD@HOTMAIL.COM,933059344,945598452
4999465,13333349,VILLEGAS PETRLIK,,CARLOS,,CL LAS MAGNOLIAS 149 URB PANDO ETAPA 8,SAN MIGUEL,CARLOS_1VP@HOTMAIL.COM,961181385,936217629
6358094,13399919,ZAMORA RODRIGUEZ,,JULIA,,CL VILLA SAN LUIS S/N MZ. X-7 LT. 29 AH PAMPLONA ALTA,SAN JUAN DE MIRAFLORES,ABARROTESJULIA@HOTMAIL.COM,964399198,957070233
14192788,13406184,NICOLAS CORDOVA,,JOSSELYN,,CL EL CALISTEMO 1064 URB LAS PALMERAS,LOS OLIVOS,BLANKYTAU@GMAIL.COM,900923627,987826259
7656987,16853777,DELGADO BRAVO,,SOLEDAD CHABELI,,JR MIGUEL GRAU 240,EL TAMBO,WILFREDO_BENITO@HOTMAIL.COM,996195365,979935665
20377435,17726370,AVALOS REYES,,YERSON GERARDO,,MZ. A1 LT. 14 URB 21 DE ABRIL,CHIMBOTE,AR_YERSON@HOTMAIL.COM,948777429,962383580
18534104,23815996,HIDALGO GOMEZ,,AURA VIOLETA,,CL FEBO 167 DPTO 301 URB EL OLIMPO DE SALAMANCA,ATE,AURAHIDALGOG@HOTMAIL.COM,932232637,916931696
14410611,24212411,RIVAS AYAY,,GERARD ANTONIO,,CL XXXXXX S/N   L1 38AHSANTA MARIA,SAN JUAN DE LURIGANCHO,GERARD1286@HOTMAIL.COM,948679943,968984075
8364696,24250071,VELA SOTO,,JULIA ROSA,,AV FRANCISCO BOLOGNESI -   U 4COPSAN HILARION,COMAS,JULIEROSE40@HOTMAIL.COM,927150220,996236318
10802862,26279386,CARRASCO PIMENTEL,,ELIZABETH,,N   G9 31URBBOCA NEGRA,CALLAO,ELICAP7604@GMAIL.COM,972074102,925172207
4810872,26513842,GOMEZ FUENTES,,MARCOS IRINEO,,AV SANTA ELVIRA S/N   C 30URBSANTA LUISA,LOS OLIVOS,MARCO_2000_ADRIANO@HOTMAIL.COM,935371431,913389193
5213982,27517400,URPAY GOZME,,PAULINA MERCEDES,,JR 23 DE SEPTIEMBRE S/N   M-3 25URBEL PROGRESO,CARABAYLLO,MECALME85@HOTMAIL.COM,975615921,906210798
6012261,28309771,VALENZUELA ROMERO,,JESSIE LIZBETH,,CL EL CARMEN 1775   F17B 6URB28 DE DICIEMBRE,VILLA MARIA DEL TRIUNFO,JESSIE.VALENZ33OM@GMAIL.COM,914551979,967451682
7497037,34845943,MESIAS LUYO,,ALEX ALBERTO,,AV PRIMAVERA SN   J 24,CHINCHA ALTA,ALEX_MATIAS2015@HOTMAIL.COM,918584966,916056460
4863659,40007801,TERREL FLORES,,LUIS ALFREDO,,CL LOS EUCALIPTOS S/N MZ. D LT. 21,SANTIAGO DE SURCO,LUISTERRELF@GMAIL.COM,994592434,962233327
